iter	Passed	Remaining
1349	11662	5615
1350	11672	5607
1351	11681	5598
1352	11690	5590
1353	11698	5581
1354	11707	5572
1355	11716	5564
1356	11725	5555
1357	11734	5547
1358	11744	5539
1359	11753	5531
1360	11761	5522
1361	11769	5513
1362	11779	5505
1363	11790	5497
1364	11799	5488
1365	11807	5479
1366	11817	5472
1367	11827	5464
1368	11837	5456
1369	11847	5448
1370	11856	5439
1371	11865	5430
1372	11875	5423
1373	11885	5415
1374	11893	5405
1375	11902	5397
1376	11910	5388
1377	11919	5380
1378	11929	5372
1379	11938	5363
1380	11946	5354
1381	11954	5345
1382	11960	5335
1383	11967	5326
1384	11975	5317
1385	11983	5308
1386	11991	5299
1387	12000	5291
1388	12009	5282
1389	12017	5273
1390	12026	5265
1391	12035	5256
1392	12045	5249
1393	12055	5240
1394	12064	5232
1395	12070	5222
1396	12078	5213
1397	12088	5205
1398	12097	5197
1399	12108	5189
1400	12117	5180
1401	12128	5173
1402	12137	5164
1403	12144	5155
1404	12153	5147
1405	12163	5138
1406	12172	5130
1407	12181	5121
1408	12190	5113
1409	12199	5104
1410	12209	5096
1411	12218	5088
1412	12229	5080
1413	12236	5071
1414	12244	5062
1415	12255	5054
1416	12264	5046
1417	12274	5037
1418	12282	5028
1419	12292	5020
1420	12302	5012
1421	12311	5004
1422	12320	4995
1423	12328	4986
1424	12338	4978
1425	12347	4970
1426	12357	4962
1427	12365	4953
1428	12374	4944
1429	12383	4935
1430	12391	4927
1431	12399	4918
1432	12408	4909
1433	12419	4902
1434	12429	4894
1435	12438	4885
1436	12446	4876
1437	12453	4867
1438	12462	4858
1439	12471	4849
1440	12480	4841
1441	12488	4832
1442	12496	4823
1443	12505	4815
1444	12514	4806
1445	12523	4798
1446	12532	4789
1447	12540	4780
1448	12550	4772
1449	12558	4763
1450	12568	4755
1451	12577	4746
1452	12586	4738
1453	12597	4730
1454	12606	4722
1455	12615	4713
1456	12623	4704
1457	12632	4696
1458	12641	4687
1459	12649	4678
1460	12657	4669
1461	12666	4661
1462	12675	4652
1463	12686	4644
1464	12696	4636
1465	12705	4627
1466	12714	4619
1467	12722	4610
1468	12732	4602
1469	12740	4593
1470	12747	4584
1471	12757	4576
1472	12766	4567
1473	12777	4559
1474	12785	4550
1475	12793	4541
1476	12801	4532
1477	12808	4523
1478	12816	4514
1479	12826	4506
1480	12834	4497
1481	12844	4489
1482	12853	4480
1483	12862	4472
1484	12871	4463
1485	12880	4455
1486	12889	4446
1487	12899	4438
1488	12907	4429
1489	12914	4420
1490	12923	4411
1491	12932	4403
1492	12941	4394
1493	12950	4386
1494	12958	4377
1495	12966	4368
1496	12975	4359
1497	12985	4351
1498	12993	4342
1499	13002	4334
1500	13012	4326
1501	13022	4317
1502	13029	4308
1503	13039	4300
1504	13047	4291
1505	13057	4283
1506	13066	4274
1507	13076	4266
1508	13086	4258
1509	13095	4249
1510	13104	4240
1511	13113	4232
1512	13122	4223
1513	13131	4215
1514	13141	4206
1515	13150	4198
1516	13158	4189
1517	13168	4181
1518	13177	4172
1519	13186	4164
1520	13197	4156
1521	13206	4147
1522	13213	4138
1523	13221	4129
1524	13228	4120
1525	13235	4111
1526	13243	4102
1527	13252	4093
1528	13260	4084
1529	13269	4076
1530	13280	4068
1531	13290	4060
1532	13299	4051
1533	13307	4042
1534	13317	4034
1535	13327	4025
1536	13335	4017
1537	13343	4008
1538	13353	3999
1539	13363	3991
1540	13371	3982
1541	13381	3974
1542	13390	3966
1543	13399	3957
1544	13408	3948
1545	13418	3940
1546	13427	3931
1547	13436	3923
1548	13444	3914
1549	13453	3905
1550	13462	3897
1551	13473	3889
1552	13481	3880
1553	13490	3871
1554	13499	3863
1555	13508	3854
1556	13516	3845
1557	13525	3837
1558	13534	3828
1559	13543	3820
1560	13553	3811
1561	13562	3803
1562	13571	3794
1563	13580	3785
1564	13589	3777
1565	13598	3768
1566	13607	3760
