САО,Беломорская,16.0,13,66.2,2,16300000.0
Новая Москва,Румянцево,17.0,18,36.4,2,8844827.0
Новая Москва,Румянцево,17.1,16,34.4,2,8704399.0
ЦАО,Спортивная,4.8,5,38.0,2,18950000.0
ЮЗАО,Новые Черёмушки,11.2,14,30.6,2,10098000.0
ЮАО,ЗИЛ,5.9,9,62.2,2,23787116.0
Новая Москва,Румянцево,17.0,17,36.5,2,9687815.0
ЗАО,Юго-Западная,13.4,20,65.3,2,22990000.0
ВАО,Преображенская площадь,8.3,17,33.9,2,10700000.0
ЮЗАО,Чертановская,12.4,7,119.0,2,31600000.0
Новая Москва,Румянцево,17.1,16,37.4,2,9099019.0
ВАО,Измайловская,11.2,9,35.2,2,9100000.0
ЦАО,Баррикадная,2,7,58.8,3,27100000.0
ЗАО,Фили,6.4,2,44.3,3,28031047.0
Новая Москва,Новомосковская (2024),16.9,33,39.5,3,10040471.0
Новая Москва,Саларьево,22.9,30,39.6,3,11395019.0
Новая Москва,Румянцево,16.9,15,34.1,2,9932738.0
ЦАО,Шелепиха,6.1,9,82.0,3,37900000.0
ЮЗАО,Бунинская аллея,23.7,16,49.4,3,11466437.0
Новая Москва,Силикатная,29.3,32,67.5,3,13208923.0
ЮВАО,Некрасовка,19.3,15,54.5,3,11400000.0
ЮВАО,Рязанский проспект,11.7,18,42.0,3,11800000.0
СЗАО,Трикотажная,16.3,19,89.8,3,26593850.0
Новая Москва,Рассказовка,22.8,19,84.7,3,18111406.0
ЮЗАО,Университет,9.2,7,82.0,3,35000000.0
ЗАО,Парк Победы,6.5,7,69.2,3,32500000.0
СВАО,Фонвизинская,7.4,7,55.0,3,18500000.0
ЮЗАО,Новые Черёмушки,11.2,14,3.29,3,9355680.0
ЮЗАО,Улица Скобелевская,23.2,6,77.2,3,16950000.0
САО,Лихоборы,13.7,19,42.0,2,11999000.0
Новая Москва,Пыхтино (2023),28.3,20,64.0,3,10300000.0
Новая Москва,Новомосковская (2024),16.9,33,50.8,2,12213957.0
СВАО,Новодачная,19.6,9,3.2,3,6196050.0
Новая Москва,Саларьево,23.6,34,58.4,3,10648872.0
ЮЗАО,Нагорная,8.2,16,56.8,2,15500000.0
СЗАО,Трикотажная,15.3,21,43.6,2,12901748.0
Новая Москва,Саларьево,23.6,30,23.4,2,7735783.0
Новая Москва,Силикатная,24.3,13,48.0,2,10000000.0
Новая Москва,Румянцево,17.0,17,36.6,2,10028940.0
ЮАО,Технопарк,7.3,8,85.0,2,37969969.0
СЗАО,Пятницкое шоссе,20.5,15,37.4,2,10100000.0
ЮАО,ЗИЛ,7.4,20,75.7,2,27386111.0
ЦАО,Проспект Мира,2,3,84.4,2,35700000.0
СЗАО,Планерная,17.3,15,32.5,2,11100000.0
Новая Москва,Румянцево,17.0,17,37.7,2,9949502.0
ЮВАО,Авиамоторная,4.8,15,4.25,2,11341040.0
ЦАО,Октябрьская,2,6,53.5,2,25000000.0
ЮВАО,Кожуховская,7.0,13,17.5,2,8605156.0
ЗАО,Аминьевская,11.1,10,32.9,2,16750000.0
САО,Беломорская,15.5,7,73.0,2,29500000.0
СЗАО,Планерная,17.4,17,35.0,1,11950000.0
ЮАО,ЗИЛ,6.2,24,47.9,2,21076000.0
ЮВАО,Площадь Ильича,4.2,13,41.6,1,17243242.0
ЮАО,Орехово,15.8,15,51.3,1,15700000.0
Новая Москва,Румянцево,16.9,15,56.3,1,13403527.0
САО,Дмитровская,6.8,3,90.8,1,36500000.0
Новая Москва,Саларьево,22.9,30,98.5,1,19807562.0
ЗАО,Мичуринский проспект,11.3,13,48.5,1,24541000.0
Новая Москва,Саларьево,26.8,70,52.6,1,11000000.0
Новая Москва,Тёплый Стан,20.5,38,63.2,1,15385602.0
